BFO 1.1/OBO_REL	BFO 2.0 Classes/RO	BFO 2.0/RO labels
http://purl.obolibrary.org/obo/OBI_0000298	http://purl.obolibrary.org/obo/RO_0000086	has quality
http://purl.obolibrary.org/obo/BFO_0000007	http://purl.obolibrary.org/obo/BFO_0000015	process
http://purl.obolibrary.org/obo/BFO_0000052	http://purl.obolibrary.org/obo/RO_0000052	inheres in
http://purl.obolibrary.org/obo/BFO_0000053	http://purl.obolibrary.org/obo/RO_0000053	bearer of
http://purl.obolibrary.org/obo/BFO_0000056	http://purl.obolibrary.org/obo/RO_0000056	participates in
http://purl.obolibrary.org/obo/BFO_0000057	http://purl.obolibrary.org/obo/RO_0000057	has participant
http://purl.obolibrary.org/obo/BFO_0000058	http://purl.obolibrary.org/obo/RO_0000058	is concretized as
http://purl.obolibrary.org/obo/BFO_0000059	http://purl.obolibrary.org/obo/RO_0000059	concretizes
http://purl.obolibrary.org/obo/BFO_0000081	http://purl.obolibrary.org/obo/RO_0000081	role of
http://purl.obolibrary.org/obo/BFO_0000082	http://purl.obolibrary.org/obo/RO_0001025	located in
http://purl.obolibrary.org/obo/BFO_0000086	http://purl.obolibrary.org/obo/RO_0000086	has quality
http://purl.obolibrary.org/obo/BFO_0000087	http://purl.obolibrary.org/obo/RO_0000087	has role
http://purl.obolibrary.org/obo/RO_0001000	http://purl.obolibrary.org/obo/RO_0001000	derives from
http://purl.obolibrary.org/obo/BFO_0000060	http://purl.obolibrary.org/obo/RO_0002087	immediately_preceded_by
http://purl.obolibrary.org/obo/BFO_0000079	http://purl.obolibrary.org/obo/RO_0000079	function of
http://purl.obolibrary.org/obo/BFO_0000085	http://purl.obolibrary.org/obo/RO_0000085	has function
http://purl.obolibrary.org/obo/BFO_0000061	http://purl.obolibrary.org/obo/RO_0002090	immediately_precedes
